iter	Passed	Remaining
781	10492	2924
782	10506	2911
783	10520	2898
784	10532	2884
785	10545	2871
786	10558	2857
787	10572	2844
788	10586	2831
789	10599	2817
790	10612	2804
791	10625	2790
792	10637	2776
793	10647	2762
794	10658	2748
795	10668	2734
796	10678	2719
797	10691	2706
798	10703	2692
799	10714	2678
800	10724	2664
801	10735	2650
802	10745	2636
803	10755	2621
804	10766	2608
805	10776	2593
806	10786	2579
807	10796	2565
808	10806	2551
809	10816	2537
810	10826	2523
811	10838	2509
812	10850	2495
813	10860	2481
814	10871	2467
815	10883	2454
816	10895	2440
817	10906	2426
818	10917	2412
819	10928	2398
820	10938	2384
821	10948	2370
822	10960	2357
823	10970	2343
824	10981	2329
825	10992	2315
826	11004	2301
827	11014	2288
828	11028	2274
829	11039	2261
830	11051	2247
831	11061	2233
832	11072	2219
833	11082	2205
834	11092	2192
835	11103	2178
836	11113	2164
837	11124	2150
838	11134	2136
839	11144	2122
840	11156	2109
841	11166	2095
842	11176	2081
843	11186	2067
844	11198	2054
845	11212	2041
846	11225	2027
847	11237	2014
848	11250	2001
849	11264	1987
850	11276	1974
851	11288	1960
852	11302	1947
853	11316	1934
854	11329	1921
855	11343	1908
856	11356	1894
857	11367	1881
858	11379	1867
859	11390	1854
860	11400	1840
861	11411	1826
862	11421	1813
863	11431	1799
864	11443	1785
865	11454	1772
866	11464	1758
867	11474	1745
868	11487	1731
869	11497	1718
870	11508	1704
871	11518	1690
872	11529	1677
873	11542	1663
874	11552	1650
875	11563	1636
876	11575	1623
877	11588	1610
878	11600	1596
879	11612	1583
880	11625	1570
881	11637	1556
882	11650	1543
883	11663	1530
884	11676	1517
885	11689	1504
886	11702	1490
887	11715	1477
888	11727	1464
889	11739	1450
890	11752	1437
891	11765	1424
892	11778	1411
893	11791	1398
894	11803	1384
895	11816	1371
896	11828	1358
897	11842	1345
898	11855	1331
899	11868	1318
900	11880	1305
901	11894	1292
902	11907	1279
903	11919	1265
904	11932	1252
905	11945	1239
906	11958	1226
907	11970	1212
908	11983	1199
909	11996	1186
910	12008	1173
911	12020	1159
912	12033	1146
913	12046	1133
914	12059	1120
915	12071	1107
916	12084	1093
917	12096	1080
918	12109	1067
919	12122	1054
920	12134	1040
921	12147	1027
922	12159	1014
923	12172	1001
924	12184	987
925	12197	974
926	12210	961
927	12223	948
928	12237	935
929	12249	922
930	12262	908
931	12275	895
932	12288	882
933	12300	869
934	12313	855
935	12326	842
936	12340	829
937	12351	816
938	12361	803
939	12372	789
